reference_fiche,ndeg_de_version,nature_juridique_du_rappel,categorie_de_produit,sous_categorie_de_produit,nom_de_la_marque_du_produit,noms_des_modeles_ou_references,identification_des_produits,conditionnements,date_debut_fin_de_commercialisation,temperature_de_conservation,marque_de_salubrite,informations_complementaires,zone_geographique_de_vente,distributeurs,motif_du_rappel,risques_encourus_par_le_consommateur,preconisations_sanitaires,description_complementaire_du_risque,conduites_a_tenir_par_le_consommateur,numero_de_contact,modalites_de_compensation,date_de_fin_de_la_procedure_de_rappel,informations_complementaires_publiques,liens_vers_les_images,lien_vers_la_liste_des_produits,lien_vers_la_liste_des_distributeurs,lien_vers_affichette_pdf,lien_vers_la_fiche_rappel,rappelguid,group_key
2021-05-0234,1,Volontaire (sans arrêté préfectoral),Alimentation,Plats préparés et snacks,MONTFORT,torchon 150g - 300g - 360g - 400g,3104544073272 400269000496199 Date limite de consommation 22/06/2021 3104544073272 400280000496199 Date limite de consommation 03/07/2021 3104544073272 400350000496199 Date limite de consommation 11/09/2021 3104544070011 400266000496041 Date limite de consommation 19/06/2021 3104544070011 400294000496041 Date limite de consommation 17/07/2021 3104544074835 400240000496044 Date limite de consommation 24/05/2021 3104544074835 400247000496044 Date limite de consommation 31/05/2021 3104544074835 400303000496044 Date limite de consommation 26/07/2021 3104544073012 400296000496183 Date limite de consommation 19/07/2021,torchon 150g 300g 360 g 400g,Du 31/08/2020 au 28/05/2021,Produit à conserver au réfrigérateur,FR.65.304.002.CE,,France entière,SYSTEME U CARREFOUR CORA MONOPRIX AUCHAN GALEC FGGAUDIN,non-conformité détectée sur un ingrédient (épice) entrant dans la composition du produit fini,Dépassement des limites autorisées de pesticides,,résidu d'oxyde d'éthylène dépassant la limite autorisée sur un ingrédient (épice) utilisé en quantité faible dans la recette du produit fini,Ne plus consommer Contacter le service consommateur Détruire le produit,969320005,Autre (voir informations complémentaires),mardi 15 juin 2021,,https://rappel.conso.gouv.fr/image/7f126b80-bacc-4699-93c9-9200a466e03e.jpg https://rappel.conso.gouv.fr/image/90072cd7-3238-49b1-a0ce-854b108698ad.jpg https://rappel.conso.gouv.fr/image/81ee29d5-272a-4317-9f06-0d4272905cdf.jpg https://rappel.conso.gouv.fr/image/616ee8eb-2e2e-470a-92fe-4bbd7dcf7ef1.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/548/Interne,https://rappel.conso.gouv.fr/fiche-rappel/548/Interne,84C7FFE9-D659-4A67-A830-6375FB182A21,2021-05-31
2021-05-0235,1,Volontaire (sans arrêté préfectoral),Alimentation,Plats préparés et snacks,MONTFORT,barquette 160g 260g 510g 600g,3104544075634 400262000496272 Date limite de consommation 31/03/2022 3104544075634 400297000496272 Date limite de consommation 30/04/2022 3104544075634 400336000496272 Date limite de consommation 31/05/2022 3104544073418 400255000496018 Date limite de consommation 31/03/2022 3104544072831 400288000496166 Date limite de consommation 30/04/2022 3104544072831 400309000496166 Date limite de consommation 31/05/2022 3104544072831 400321000496166 Date limite de consommation 31/05/2022 3104544070462 400281000496202 Date limite de consommation 30/04/2022 3104544070462 400290000496016 Date limite de consommation 30/04/2022 3104544070462 400290000496202 Date limite de consommation 30/04/2022 3104544070462 400309000496202 Date limite de consommation 31/05/2022 3104544070462 400321000496202 Date limite de consommation 31/05/2022,barquette 160g 260g 510g 600g,Du 01/09/2020 au 28/05/2021,Produit à conserver au réfrigérateur,FR.65.304.002.CE,,France entière,GALEC CARREFOUR INTERMARCHE CORA MAKRO,non-conformité détectée sur un ingrédient (épice) entrant dans la composition du produit fini,Dépassement des limites autorisées de pesticides,,résidu d'oxyde d'éthylène dépassant la limite autorisée sur un ingrédient (épice) utilisé en quantité faible dans la recette du produit fini,Ne plus consommer Contacter le service consommateur Détruire le produit,969320005,Autre (voir informations complémentaires),mardi 15 juin 2021,,https://rappel.conso.gouv.fr/image/eb87557d-e392-46eb-bf7a-8e1b9bdc06ea.jpg https://rappel.conso.gouv.fr/image/e9fcbe25-2d7c-493c-b5be-f70907fefdf2.jpg https://rappel.conso.gouv.fr/image/fd0e71e8-3f2b-4332-9a06-e6b66f1af9ee.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/549/Interne,https://rappel.conso.gouv.fr/fiche-rappel/549/Interne,C4A12DF3-6EFF-4F24-A30F-5EDC8F058B9F,2021-05-31
2021-05-0236,1,Volontaire (sans arrêté préfectoral),Alimentation,Plats préparés et snacks,MONTFORT,Barquette 200 g 260 g 460 g,3104544074378 400332000496248 Date limite de consommation 31/05/2022 3104544074378 401036000496248 Date limite de consommation 31/08/2022 3104544074378 401043000496248 Date limite de consommation 31/08/2022 3104544071896 400318000496090 Date limite de consommation 31/05/2022 3104544071896 400336000496090 Date limite de consommation 31/05/2022 3104544072039 400238000496088 Date limite de consommation 28/02/2022 3104544072039 400322000496088 Date limite de consommation 31/05/2022,,Du 31/08/2020 au 28/05/2021,Produit à conserver au réfrigérateur,FR.65.304.002.CE,Barquette 200 g 260 g 460 g,France entière,GALEC AUCHAN CORA,non-conformité détectée sur un ingrédient (épice) entrant dans la composition du produit fini,Dépassement des limites autorisées de pesticides,,résidu d'oxyde d'éthylène dépassant la limite autorisée sur un ingrédient (épice) utilisé en quantité faible dans la recette du produit fini,Ne plus consommer Contacter le service consommateur Détruire le produit,969320005,Autre (voir informations complémentaires),mardi 15 juin 2021,,https://rappel.conso.gouv.fr/image/63598ef0-e958-4ff1-8ff9-bf2eb3d7c70d.jpg https://rappel.conso.gouv.fr/image/f8741b2a-eff0-41f9-93b4-424777d15ebf.jpg https://rappel.conso.gouv.fr/image/325ed525-60e9-450c-9a52-8bd77c1d2b81.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/550/Interne,https://rappel.conso.gouv.fr/fiche-rappel/550/Interne,363CD2B2-4C8E-4F75-A179-7F5794D52F9E,2021-05-31
2021-05-0243,1,Volontaire (sans arrêté préfectoral),Alimentation,Plats préparés et snacks,MONTFORT,"Bocal twist off 145g, 150g",3104544074095 200329.407384 Date de durabilité minimale 24/11/2024 3104544073845 200329.407384 Date de durabilité minimale 24/11/2024,"Bocal twist off 145g, 150g",Du 02/11/2020 au 28/05/2021,Produit à conserver à température ambiante,FR.24.520.002,,France entière,"AUCHAN, GALEC",non-conformité détectée sur un ingrédient (épice) entrant dans la composition du produit fini,Dépassement des limites autorisées de pesticides,,Résidu d'oxyde d'éthylène dépassant la limite autorisée sur un ingrédient (épice) utilisé en quantité faible dans la recette du produit fini,Ne plus consommer,969320005,Autre (voir informations complémentaires),mardi 15 juin 2021,,https://rappel.conso.gouv.fr/image/5dd0c39d-e25a-47f9-884b-777630ca0d53.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/557/Interne,https://rappel.conso.gouv.fr/fiche-rappel/557/Interne,2256E2F2-4CE5-46B8-9E02-DCBCCA21C95E,2021-05-31
2021-05-0250,1,Volontaire (sans arrêté préfectoral),Alimentation,Autres,Excellence,4 Variétés: poireau/saumon  provençale  fromage de chèvre  tomate/chorizo,26069203 20336M Date de durabilité minimale 31/10/2022 26069203 20336M Date de durabilité minimale 30/11/2022 26069203 21064M Date de durabilité minimale 30/11/2022 26069203 21064M Date de durabilité minimale 31/12/2022,,Du 16/12/2020 au 31/05/2021,Produit à conserver au congélateur,FR 27.428.003 CE,,France entière,ALDI,Présence d'un résidu de pesticide au-delà de la limite réglementaire dans le piment de Cayenne.,Produits phytosanitaires non autorisés,,,Ne plus consommer Rapporter le produit au point de vente,,Remboursement,lundi 14 juin 2021,,https://rappel.conso.gouv.fr/image/2662a6da-a1f6-4720-8c9a-06d5d90d8aa2.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/564/Interne,https://rappel.conso.gouv.fr/fiche-rappel/564/Interne,783AB209-C2F4-4E54-8B04-67B48D4A7453,2021-06-07
2021-06-0050,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,NATURLAND,na,7001375008441 K05031A Date limite de consommation 31/12/2023,Etui + blisters,Du 29/12/2020 au 08/06/2021,Produit à conserver à température ambiante,/,Boite de 40 gélules,France entière,"Pharmacies, parapharmacies, magasins diététiques, distributeurs",Présence d’oxyde d’éthylène dans l’un des ingrédients du produit,Présence de substance interdite,,Dépassement des limites autorisées d’oxyde d’éthylène,Ne plus consommer Rapporter le produit au point de vente,493291128,Remboursement Echange,jeudi 8 juillet 2021,,https://rappel.conso.gouv.fr/image/21f20a3f-6629-4446-bc02-fccb376c414d.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/615/Interne,https://rappel.conso.gouv.fr/fiche-rappel/615/Interne,C1CE99F4-76E5-43D0-9986-FC0C43A10EA7,2021-06-08
2021-06-0051,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,ARKOPHARMA,ARKOGELULES COMPLEX Flexibilité et mobilité articulaire BIO 40 gélules,3578835502251 K04460A Date limite de consommation 30/11/2023 3578835502251 K04834A Date limite de consommation 31/12/2023 3578835502251 K05032A Date limite de consommation 31/12/2023 3578835502251 L00346A Date limite de consommation 31/01/2024 3578835502251 L00346B Date limite de consommation 31/01/2024,,Du 17/11/2020 au 08/06/2021,Produit à conserver à température ambiante,,,France entière,Pharmacies,Présence d’oxyde d’éthylène dans l’un des ingrédients du produit,Substances interdites (au sens du Règlement UE 37/2010),,Dépassement des limites autorisées d’oxyde d’éthylène,Ne plus consommer Rapporter le produit au point de vente,493291128,Remboursement Echange,jeudi 8 juillet 2021,,https://rappel.conso.gouv.fr/image/e5780dd8-42d0-43b3-b5b2-4630ecc30f9b.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/616/Interne,https://rappel.conso.gouv.fr/fiche-rappel/616/Interne,F942C5D8-EC24-4CB1-96CE-5A8839475C85,2021-06-08
2021-06-0066,1,Imposé par arrêté préfectoral,Alimentation,Autres,MUCCI,4 BÂTONNETS GOURMANDS - COCO - Double enrobage chocolat & chocolat au lait,26056562 PL1096  PL1097 Date de durabilité minimale 31/10/2022,292g,Du 28/04/2021 au 08/06/2021,Produit à conserver au congélateur,,,France entière,ALDI,Présence d'un résidu de pesticide au-delà de la limite réglementaire.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente,,Remboursement,mardi 22 juin 2021,,https://rappel.conso.gouv.fr/image/a8be7249-1d6d-49a3-b993-3efa500936de.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/631/Interne,https://rappel.conso.gouv.fr/fiche-rappel/631/Interne,37E3665C-CB0A-4505-8197-85FF450DCC0C,2021-06-16
2021-06-0047,2,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,NATURLAND,"ARKOGELULES Curcuma + Pipérine BIO (75VG)
ARKOGELULES Curcuma + Pipérine BIO (150VG)
ARKOGELULES Curcuma + Pipérine BIO (75VG + 50% offert)",7001375007574 J03051A Date limite de consommation 30/06/2022 7001375007574 k03046A Date limite de consommation 31/07/2023 7001375007567 J04851A Date limite de consommation 31/10/2022 7001375007567 K02819A Date limite de consommation 31/07/2023 7001375007567 K03233A Date limite de consommation 31/08/2023 7001375008380 K03234A Date limite de consommation 31/08/2023,Piluliers en étui.,Du 09/01/2020 au 08/06/2021,Produit à conserver à température ambiante,/,Piluliers de 75 gélules - ou - 150 gélules - ou - 75 gélules + 50% offert,France entière,"Pharmacies, Parapharmacies, magasins diététiques, distributeurs",Présence d’oxyde d’éthylène dans l’un des ingrédients du produit,Présence de substance interdite,,Dépassement des limites autorisées d’oxyde d’éthylène,Ne plus consommer Rapporter le produit au point de vente,493291128,Remboursement Echange,jeudi 8 juillet 2021,,https://rappel.conso.gouv.fr/image/c45402b6-784d-4399-9fee-411e19a1d810.jpg https://rappel.conso.gouv.fr/image/b3114aa8-3e60-49de-8b37-2eaf72c7374e.jpg https://rappel.conso.gouv.fr/image/6f0aa9d5-a632-491e-bd91-0b50a2e29a4b.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/633/Interne,https://rappel.conso.gouv.fr/fiche-rappel/633/Interne,03FBA408-341A-41C0-A625-1153F49ED4A5,2021-06-09
2021-06-0052,2,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,ARKOPHARMA,"ARKOGELULES Curcuma + Pipérine BIO 40 gélules
ARKOGELULES Curcuma + Pipérine BIO 130 gélules",3578835501780 J03007A Date limite de consommation 30/06/2022 3578835501780 J03278A Date limite de consommation 31/07/2022 3578835501780 J04484A Date limite de consommation 31/10/2022 3578835501780 J05155A Date limite de consommation 30/11/2022 3578835501780 J05155B Date limite de consommation 30/11/2022 3578835501780 K02409A Date limite de consommation 30/06/2023 3578835501780 K04998A Date limite de consommation 31/12/2023 3578835501780 K04998B Date limite de consommation 31/12/2023 3578835501773 J03104A Date limite de consommation 31/07/2022 3578835501773 J03497A Date limite de consommation 31/07/2022 3578835501773 J03497B Date limite de consommation 31/07/2022 3578835501773 J04121A Date limite de consommation 30/09/2022 3578835501773 K03021A Date limite de consommation 31/07/2023 3578835501773 K03021B Date limite de consommation 31/07/2023 3578835501773 K03107A Date limite de consommation 31/08/2023,,Du 12/07/2019 au 08/06/2021,Produit à conserver à température ambiante,,,France entière,Pharmacies,Présence d’oxyde d’éthylène dans l’un des ingrédients du produit,Substances interdites (au sens du Règlement UE 37/2010),,Dépassement des limites autorisées d’oxyde d’éthylène,Ne plus consommer Rapporter le produit au point de vente,493291128,Remboursement Echange,jeudi 8 juillet 2021,,https://rappel.conso.gouv.fr/image/7fa38012-b73a-4a65-b89f-8fe82fdc463c.jpg https://rappel.conso.gouv.fr/image/ece5f847-0ede-4eda-af97-d4509029b708.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/634/Interne,https://rappel.conso.gouv.fr/fiche-rappel/634/Interne,9DB1372C-AF40-471F-A059-E3EC72F46ED1,2021-06-09
2021-06-0082,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,Laboratoire Lescuyer,"Prostaguard 60 comprimés
Prostaguard 180 comprimés",Lot : P083G Date de durabilité minimale 31/03/2023,Boites de 60 et 180 comprimés,Du 03/05/2021 au 08/06/2021,Produit à conserver à température ambiante,,,France entière,Pas de distributeur. Vente à distance (site internet),Présence d'oxyde d'éthylène dans le produit,Présence de substance interdite,,Dépassement de la limite autorisée en oxyde d'éthylène,Ne plus consommer Contacter le point de vente,546563048,Remboursement,vendredi 9 juillet 2021,,https://rappel.conso.gouv.fr/image/6ba0c6c7-5f2f-40ac-9489-b42799fbe63b.jpg https://rappel.conso.gouv.fr/image/629224a2-ae5a-40a8-93c6-198a87902bac.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/650/Interne,https://rappel.conso.gouv.fr/fiche-rappel/650/Interne,33D23E42-F7AC-433F-89D3-3996D0B7FFB7,2021-06-10
2021-06-0088,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,EXTREME ®,EXTREME Vanille  16x70g,7613036279888 AR 0227  Date de durabilité minimale 28/02/2022,boite de 16 cones Extreme Vanille,Du 25/08/2020 au 03/06/2021,Produit à conserver au congélateur,,"Extreme vanille vendu en boite de 16 , pour revente à l'unité",France entière,"Sysco ( Davigel, Brake )","La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène , au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,dimanche 8 août 2021,"Pour toute information complémentaire, vous pouvez contacter le service consommateur de Froneri  : service.conso.crise@fr.froneri.com",https://rappel.conso.gouv.fr/image/ccb8cd9f-ecb6-43a1-a816-0f20503a0bc0.jpg https://rappel.conso.gouv.fr/image/da50cb38-f986-4540-b24c-66c0f459324a.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/656/Interne,https://rappel.conso.gouv.fr/fiche-rappel/656/Interne,45819A1D-D87A-4483-8A2C-40F788A819A3,2021-06-10
2021-06-0230,1,Volontaire (sans arrêté préfectoral),Alimentation,Lait et produits laitiers,PEDONE GLACIER / ANGELINA,"Crème glacée aux marrons façon Mont-Blanc 500mL
Crème glacée aux praliné et aux noisettes façon Paris-Brest 500mL",3760092342682 200924 201002 201008 201009 201016 201022 201105 201106 201109 201201 201202 201203 Date de durabilité minimale entre le 30/09/2021 et le 31/12/2022 3760092344068 200928 201019 201109 201203 Date de durabilité minimale entre le 30/09/2021 et le 31/12/2022,pot en carton de 500mL,Depuis le 01/10/2020,Produit à conserver au congélateur,,,France entière,MONOPRIX,Mise en évidence de la présence d’une teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans un ingrédient rentrant dans la composition des produits,Autres contaminants chimiques,,Présence d'un résidu d'oxyde d'éthylène au-delà de la limite réglementaire sur le stabilisant entrant dans la composition du produit.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,,,https://rappel.conso.gouv.fr/image/828b7310-54ad-4d81-9f7e-1118a09dbe15.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/799/Interne,https://rappel.conso.gouv.fr/fiche-rappel/799/Interne,C2DE390D-BC52-4542-BEA3-8B76B50C6A78,2021-06-16
2021-06-0313,1,Imposé par arrêté préfectoral,Alimentation,Autres,MUCCI,"4 BÂTONNETS GOURMANDS - CACAHUÈTES - Double enrobage cacahuètes & chocolat au lait
4 BÂTONNETS GOURMANDS - FAÇON CITRON MERINGUÉ - Double enrobage citron & chocolat blanc
4 BÂTONNETS GOURMANDS - FRAISE - Double enrobage fraise & chocolat blanc",26056609 cacahuètes: PL1099 et PL1100 Date de durabilité minimale 30/04/2023 26056609 citron: PL1097 et PL1098 Date de durabilité minimale 30/04/2023 26056609 fraise: PL1098 et PL1099 Date de durabilité minimale 30/04/2023,292g,Du 22/04/2021 au 11/06/2021,Produit à conserver au congélateur,,,France entière,ALDI,Présence d'un résidu de pesticide au-delà de la limite réglementaire.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente,,Remboursement,mardi 22 juin 2021,,https://rappel.conso.gouv.fr/image/4ec34779-9965-4265-a6eb-5dd3afe5f1d3.jpg https://rappel.conso.gouv.fr/image/97c1e8c6-e48f-4338-b4ea-f8a76348421a.jpg https://rappel.conso.gouv.fr/image/a299270d-901c-45bc-8b2c-a60e58561dd4.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/882/Interne,https://rappel.conso.gouv.fr/fiche-rappel/882/Interne,AA0686DD-2AA4-4C6C-B979-A8EF489727E4,2021-06-21
